,CAMERA ID,LATITUDE,LONGITUDE,Wards,Case Number
0,CHI003,41.9756053,-87.7316698,38,9514
1,CHI004,41.97433266,-87.72834702,38,9514
2,CHI005,41.82318883,-87.6773488,1,14005
3,CHI007,41.82356396,-87.68472113,1,14005
4,CHI008,41.87707083,-87.71816832,23,52635
5,CHI009,41.88093819,-87.71789845,23,52635
6,CHI010,,,,
7,CHI011,41.89932514,-87.70452235,49,17184
8,CHI013,41.79770389,-87.60644478,10,26778
9,CHI014,41.76773187,-87.70273791,31,33493
10,CHI015,41.76439096,-87.70972842,31,33493
11,CHI018,41.76927622,-87.7030626,31,33493
12,CHI019,41.86636402,-87.69914297,14,43411
13,CHI020,41.86658528,-87.69896238,23,52635
14,CHI021,41.86040786,-87.6986721,14,43411
15,CHI022,41.69070195,-87.66412239,22,28418
16,CHI023,41.69102546,-87.66424769,42,8647
17,CHI024,41.99028191,-87.70824463,24,10849
18,CHI025,41.97588404,-87.70480112,24,10849
19,CHI026,41.94557409,-87.68807785,18,10174
20,CHI027,41.94596259,-87.68838396,18,10174
21,CHI028,41.94660782,-87.69265244,18,10174
22,CHI029,41.79349265,-87.61187597,4,34195
23,CHI030,41.8032649,-87.72330351,8,12851
24,CHI031,41.80140191,-87.7235446,8,12851
25,CHI032,41.80293879,-87.72218179,8,12851
26,CHI033,41.8738496,-87.62744788,10,26778
27,CHI034,41.87382421,-87.62774076,10,26778
28,CHI035,41.72165713,-87.6214629,43,31195
29,CHI036,41.7218785,-87.62135433,43,31195
30,CHI039,41.92361458,-87.78247949,44,12458
31,CHI040,41.9238317,-87.78264224,21,11891
32,CHI041,41.92389747,-87.76390558,44,12458
33,CHI042,41.92412849,-87.762994,21,11891
34,CHI043,41.91823127,-87.76233706,44,12458
35,CHI044,41.92410633,-87.74802266,17,11936
36,CHI045,41.66317406,-87.63352045,43,31195
37,CHI048,41.6912024,-87.7172114,42,8647
38,CHI049,41.95572565,-87.76693812,19,8383
39,CHI050,41.95332955,-87.76426726,19,8383
40,CHI051,42.00025951,-87.68980291,27,10040
41,CHI055,41.96231379,-87.68856455,18,10174
42,CHI056,41.96226556,-87.684567,18,10174
43,CHI057,41.87332924,-87.76446042,7,25262
44,CHI058,41.87718941,-87.7703695,7,25262
45,CHI059,41.79404505,-87.72303636,6,11579
46,CHI060,41.79415458,-87.72333321,6,11579
47,CHI061,41.79307967,-87.72495666,15,9583
48,CHI062,41.79330051,-87.72479036,6,11579
49,CHI063,41.75749704,-87.63183333,32,37226
50,CHI064,,,,
51,CHI065,,,,
52,CHI066,41.74985294,-87.68798348,30,15786
53,CHI067,41.75021259,-87.68742106,30,15786
54,CHI068,,,,
55,CHI069,,,,
56,CHI070,41.79370225,-87.68724427,3,16220
57,CHI071,41.75038453,-87.72179454,30,15786
58,CHI072,41.7505462,-87.72209266,30,15786
59,CHI073,41.74937091,-87.71910468,30,15786
60,CHI074,41.74971518,-87.71959878,30,15786
61,CHI075,41.88451741,-87.66674835,46,47003
62,CHI076,41.8845142,-87.66704209,46,47003
63,CHI077,41.88319152,-87.6641147,46,47003
64,CHI078,41.96114938,-87.69696403,20,10545
65,CHI079,41.95387527,-87.69620409,20,10545
66,CHI080,41.95409266,-87.6965965,20,10545
67,CHI083,41.95307483,-87.78282554,19,8383
68,CHI086,41.93898839,-87.74312142,21,11891
69,CHI087,41.93969901,-87.72507434,21,11891
70,CHI088,41.93904026,-87.72264591,21,11891
71,CHI089,41.93925823,-87.72278143,21,11891
72,CHI090,41.92615334,-87.67093809,40,12975
73,CHI091,41.92641883,-87.66804247,40,12975
74,CHI092,41.9262079,-87.66832898,40,12975
75,CHI093,41.98890447,-87.66845573,16,10400
76,CHI094,41.96242185,-87.68886228,18,10174
77,CHI095,41.95454087,-87.65857252,39,13705
78,CHI096,41.96259655,-87.65551768,39,13705
79,CHI097,41.96288064,-87.65602445,39,13705
80,CHI098,41.80101288,-87.68607061,8,12851
81,CHI099,41.80123575,-87.68589578,8,12851
82,CHI100,41.80217403,-87.68410656,3,16220
83,CHI101,41.76000551,-87.57631298,35,32668
84,CHI102,41.96924715,-87.76401945,50,11780
85,CHI103,41.96785573,-87.76392864,50,11780
86,CHI104,41.93695084,-87.78574089,44,12458
87,CHI105,41.93818126,-87.78765549,44,12458
88,CHI106,41.93837716,-87.78911871,44,12458
89,CHI107,41.89522799,-87.72771533,45,33317
90,CHI108,41.89544862,-87.72765847,45,33317
91,CHI109,41.89450331,-87.72620452,45,33317
92,CHI110,41.85192952,-87.68464766,26,18835
93,CHI111,41.85215351,-87.68433839,26,18835
94,CHI112,41.91168402,-87.66757343,40,12975
95,CHI113,41.91179205,-87.66787046,40,12975
